,CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
4335,F33751,2020-12-16 00:00:00,2021-01-15,1305.0
4349,F33765,2020-12-18 00:00:00,2021-01-17,3630.0000000000005
4351,F33767,2020-12-11 00:00:00,2021-01-17,1738.0000000000002
4352,F33768,2020-12-15 00:00:00,2021-01-17,1738.0000000000002
4359,F33775,2020-12-15 00:00:00,2021-01-20,6626.400000000001
4363,F33779,2020-12-16 00:00:00,2021-01-20,6284.000000000001
4367,F33783,2020-12-22 00:00:00,2021-01-21,2112.0
4376,F33792,2020-12-30 00:00:00,2020-12-30,24137.931
4388,F33804,2020-12-09 00:00:00,2021-01-05,3712.7000000000003
4400,F33816,2020-12-16 00:00:00,2021-02-04,8586.0
4402,F33818,2021-01-05 00:00:00,2021-01-05,4325.8
4411,F33827,2021-01-06 00:00:00,2021-02-05,1130.0
4422,F33838,2021-01-07 00:00:00,2021-02-06,2112.0
4444,F33860,2021-01-11 00:00:00,2021-02-10,1130.0
4464,F33880,2021-01-12 00:00:00,2021-01-12,1111.228
4487,F33903,2021-01-15 00:00:00,2021-02-14,4543.4400000000005
4506,F33922,2021-01-18 00:00:00,2021-02-17,1781.2500000000002
4522,F33938,2021-01-11 00:00:00,2021-01-19,1720.0000000000002
4530,F33946,2021-01-20 00:00:00,2021-02-19,600.0
4536,F33952,2021-01-21 00:00:00,2021-01-21,630.0
4560,F33976,2021-01-25 00:00:00,2021-02-24,796.0000000000001
4656,F34072,2021-01-27 00:00:00,2021-04-29,17372.82
4687,F34103,2021-01-29 00:00:00,2021-03-06,4692.650000000001
4692,F34108,2020-12-02 00:00:00,2021-02-04,3878.7000000000003
4717,F34133,2021-02-08 00:00:00,2021-03-10,1783.0
4740,F34156,2021-02-01 00:00:00,2021-03-12,9594.5
4755,F34171,2021-02-09 00:00:00,2021-05-12,13065.0
4756,F34172,2021-02-11 00:00:00,2021-03-13,694.575
4761,F34177,2021-02-12 00:00:00,2021-03-13,713.5000000000001
4765,F34181,2021-02-12 00:00:00,2021-03-14,14286.09
4784,F34200,2021-02-15 00:00:00,2021-03-17,3549.0000000000005
4844,F34260,2021-02-18 00:00:00,2021-03-20,15759.62
4845,F34261,2021-02-18 00:00:00,2021-03-21,3754.12
4847,F34263,2021-02-19 00:00:00,2021-02-19,360.00000000000006
4906,F34322,2021-02-19 00:00:00,2021-04-25,23625.0
4939,F34355,2021-02-25 00:00:00,2021-04-27,9500.0
4962,F34378,2021-03-01 00:00:00,2021-03-31,2380.0
4999,F34415,2021-02-24 00:00:00,2021-04-02,11321.500000000002
5031,F34447,2021-03-08 00:00:00,2021-03-08,710.95
5086,F34502,2021-03-11 00:00:00,2021-03-11,3740.0000000000005
5109,F34525,2021-03-12 00:00:00,2021-04-15,9300.0
